"App name","Date","Time","Duration"
"App Usage","14/11/18","6:12:49 PM","0:00:00"
"Gmail","14/11/18","6:12:21 PM","0:00:28"
"App Usage","14/11/18","6:11:50 PM","0:00:26"
"Package installer","14/11/18","6:11:41 PM","0:00:09"
"App Usage","14/11/18","6:11:27 PM","0:00:15"
"Microsoft Launcher","14/11/18","6:11:24 PM","0:00:03"
"System UI","14/11/18","6:11:22 PM","0:00:02"
"Microsoft Launcher","14/11/18","6:11:07 PM","0:00:15"
"System UI","14/11/18","6:11:06 PM","0:00:01"
"Microsoft Launcher","14/11/18","6:11:06 PM","0:00:01"
"Clock","14/11/18","6:11:01 PM","0:00:04"
"Microsoft Launcher","14/11/18","6:10:24 PM","0:00:37"
"Clock","14/11/18","6:10:22 PM","0:00:02"
"Microsoft Launcher","14/11/18","6:10:18 PM","0:00:04"
"Clock","14/11/18","6:10:16 PM","0:00:01"
"Microsoft Launcher","14/11/18","6:10:16 PM","0:00:01"
"Clock","14/11/18","6:10:14 PM","0:00:02"
"Microsoft Launcher","14/11/18","6:10:13 PM","0:00:01"
"Clock","14/11/18","6:10:09 PM","0:00:04"
"App Usage","14/11/18","6:09:07 PM","0:01:02"
"Microsoft Launcher","14/11/18","6:09:03 PM","0:00:04"
"Screen on (unlocked)","14/11/18","6:09:02 PM","0:00:01"
"Screen off","14/11/18","6:09:02 PM","0:00:00"
"Screen off (locked)","14/11/18","6:08:39 PM","0:00:23"
"Microsoft Launcher","14/11/18","6:08:38 PM","0:00:01"
"Phone","14/11/18","6:07:58 PM","0:00:40"
"Microsoft Launcher","14/11/18","6:07:15 PM","0:00:43"
"Phone","14/11/18","6:07:13 PM","0:00:01"
"Screen on (unlocked)","14/11/18","6:07:12 PM","0:00:01"
"Screen off","14/11/18","6:07:12 PM","0:00:01"
"Screen off (locked)","14/11/18","6:06:50 PM","0:00:22"
"Phone","14/11/18","6:05:52 PM","0:00:58"
"System UI","14/11/18","6:05:51 PM","0:00:01"
"Gmail","14/11/18","6:05:28 PM","0:00:23"
"Microsoft Launcher","14/11/18","6:05:22 PM","0:00:05"
"Phone","14/11/18","6:05:09 PM","0:00:13"
"Microsoft Launcher","14/11/18","6:05:08 PM","0:00:01"
"ES File Explorer","14/11/18","6:05:08 PM","0:00:01"
"Microsoft Launcher","14/11/18","6:05:06 PM","0:00:01"
"Screen on (unlocked)","14/11/18","6:05:05 PM","0:00:01"
"Screen off","14/11/18","6:05:04 PM","0:00:02"
"Screen off (locked)","14/11/18","5:59:00 PM","0:06:04"
"Microsoft Launcher","14/11/18","5:58:54 PM","0:00:06"
"System UI","14/11/18","5:58:53 PM","0:00:01"
"Microsoft Launcher","14/11/18","5:58:52 PM","0:00:01"
"WhatsApp","14/11/18","5:58:51 PM","0:00:01"
"System UI","14/11/18","5:58:50 PM","0:00:01"
"Microsoft Launcher","14/11/18","5:58:48 PM","0:00:02"
"WhatsApp","14/11/18","5:56:11 PM","0:02:37"
"Microsoft Launcher","14/11/18","5:56:01 PM","0:00:10"
"System UI","14/11/18","5:55:59 PM","0:00:01"
"Screen on (unlocked)","14/11/18","5:55:58 PM","0:00:02"
"Truecaller","14/11/18","5:55:57 PM","0:00:01"
"Screen on (locked)","14/11/18","5:55:55 PM","0:00:02"
"Screen off (locked)","14/11/18","5:34:50 PM","0:21:04"
"Phone","14/11/18","5:34:44 PM","0:00:06"
"Screen on (locked)","14/11/18","5:34:44 PM","0:00:01"
"Screen off (locked)","14/11/18","5:29:02 PM","0:05:42"
"Screen on (locked)","14/11/18","5:28:52 PM","0:00:10"
"Phone","14/11/18","5:28:33 PM","0:00:19"
"Screen on (unlocked)","14/11/18","5:28:33 PM","0:00:01"
"Screen off","14/11/18","5:28:32 PM","0:00:00"
"Screen off (locked)","14/11/18","5:27:57 PM","0:00:35"
"Phone","14/11/18","5:27:52 PM","0:00:05"
"Microsoft Launcher","14/11/18","5:27:50 PM","0:00:02"
"Screen on (unlocked)","14/11/18","5:27:50 PM","0:00:01"
"Screen on (locked)","14/11/18","5:27:49 PM","0:00:00"
"Screen off (locked)","14/11/18","5:24:14 PM","0:03:36"
"Microsoft Launcher","14/11/18","5:24:05 PM","0:00:09"
"System UI","14/11/18","5:24:02 PM","0:00:03"
"Chrome","14/11/18","5:23:25 PM","0:00:37"
"Screen on (unlocked)","14/11/18","5:23:24 PM","0:00:01"
"Screen on (locked)","14/11/18","5:23:23 PM","0:00:00"
"Microsoft Launcher","14/11/18","5:22:48 PM","0:00:35"
"App Usage","14/11/18","5:22:48 PM","0:00:01"
"Screen on (unlocked)","14/11/18","5:22:47 PM","0:00:01"
"Screen off","14/11/18","5:22:47 PM","0:00:00"
"Screen off (locked)","14/11/18","5:20:07 PM","0:02:40"
"App Usage","14/11/18","5:19:49 PM","0:00:18"
"Microsoft Launcher","14/11/18","5:19:46 PM","0:00:03"
"System UI","14/11/18","5:19:43 PM","0:00:03"
"Microsoft Launcher","14/11/18","5:19:43 PM","0:00:01"
"Screen on (unlocked)","14/11/18","5:19:42 PM","0:00:01"
"Screen off","14/11/18","5:19:41 PM","0:00:01"
"Screen off (locked)","14/11/18","5:19:24 PM","0:00:17"
"Screen on (locked)","14/11/18","5:19:22 PM","0:00:01"
"Screen off (locked)","14/11/18","5:16:45 PM","0:02:37"
"Phone","14/11/18","5:16:36 PM","0:00:09"
"Microsoft Launcher","14/11/18","5:16:34 PM","0:00:01"
"Screen on (unlocked)","14/11/18","5:16:34 PM","0:00:00"
"Screen on (locked)","14/11/18","5:16:34 PM","0:00:00"
"Screen off (locked)","14/11/18","5:13:02 PM","0:03:32"
"Screen on (locked)","14/11/18","5:12:46 PM","0:00:16"
"Screen off (locked)","14/11/18","5:12:45 PM","0:00:01"
"Phone","14/11/18","5:12:33 PM","0:00:12"
"Screen on (locked)","14/11/18","5:12:32 PM","0:00:01"
"Screen off (locked)","14/11/18","5:12:30 PM","0:00:02"
"Phone","14/11/18","5:12:27 PM","0:00:03"
"Screen on (locked)","14/11/18","5:12:26 PM","0:00:01"
"Screen off (locked)","14/11/18","4:57:40 PM","0:14:46"
"Microsoft Launcher","14/11/18","4:57:08 PM","0:00:33"
"Screen on (unlocked)","14/11/18","4:57:07 PM","0:00:01"
"Screen off","14/11/18","4:57:05 PM","0:00:02"
"Screen off (locked)","14/11/18","4:55:00 PM","0:02:05"
"Truecaller","14/11/18","4:54:55 PM","0:00:04"
"Screen on (unlocked)","14/11/18","4:54:55 PM","0:00:00"
"Screen on (locked)","14/11/18","4:54:55 PM","0:00:01"
"Screen off (locked)","14/11/18","4:51:29 PM","0:03:26"
"Screen on (locked)","14/11/18","4:51:28 PM","0:00:01"
"Screen off (locked)","14/11/18","4:39:38 PM","0:11:50"
"Microsoft Launcher","14/11/18","4:39:33 PM","0:00:05"
"Screen on (unlocked)","14/11/18","4:39:29 PM","0:00:04"
"Screen on (locked)","14/11/18","4:39:21 PM","0:00:08"
"Screen off (locked)","14/11/18","4:20:36 PM","0:18:46"
"WhatsApp","14/11/18","4:19:07 PM","0:01:28"
"Screen on (unlocked)","14/11/18","4:19:07 PM","0:00:01"
"Screen off","14/11/18","4:19:06 PM","0:00:00"
"Screen off (locked)","14/11/18","4:16:28 PM","0:02:38"
"WhatsApp","14/11/18","4:16:22 PM","0:00:07"
"Screen on (unlocked)","14/11/18","4:16:22 PM","0:00:00"
"Screen on (locked)","14/11/18","4:16:20 PM","0:00:01"
"Screen off (locked)","14/11/18","4:13:47 PM","0:02:33"
"WhatsApp","14/11/18","4:12:58 PM","0:00:49"
"Screen on (unlocked)","14/11/18","4:12:57 PM","0:00:01"
"Screen off","14/11/18","4:12:56 PM","0:00:01"
"Screen off (locked)","14/11/18","4:11:11 PM","0:01:45"
"WhatsApp","14/11/18","4:08:40 PM","0:02:31"
"System UI","14/11/18","4:08:39 PM","0:00:01"
"Microsoft Launcher","14/11/18","4:08:37 PM","0:00:02"
"WhatsApp","14/11/18","4:08:17 PM","0:00:20"
"Screen on (unlocked)","14/11/18","4:08:17 PM","0:00:00"
"Screen on (locked)","14/11/18","4:08:16 PM","0:00:01"
"Screen off (locked)","14/11/18","4:08:06 PM","0:00:09"
"WhatsApp","14/11/18","4:08:00 PM","0:00:06"
"Screen on (unlocked)","14/11/18","4:08:00 PM","0:00:00"
"Screen on (locked)","14/11/18","4:07:54 PM","0:00:06"
"Screen off (locked)","14/11/18","4:07:25 PM","0:00:29"
"Screen on (locked)","14/11/18","4:07:20 PM","0:00:06"
"WhatsApp","14/11/18","4:07:09 PM","0:00:10"
"Screen on (unlocked)","14/11/18","4:07:09 PM","0:00:01"
"Screen off","14/11/18","4:07:08 PM","0:00:00"
"Screen off (locked)","14/11/18","4:04:37 PM","0:02:31"
"Phone","14/11/18","4:01:43 PM","0:02:54"
"WhatsApp","14/11/18","3:36:59 PM","0:24:44"
