"App name","Usage time","Access count"
"WhatsApp","1:45:08","71"
"Paytm","0:32:14","30"
"System launcher","0:25:04","166"
"Instagram","0:22:08","14"
"InCallUI","0:15:43","11"
"Gmail","0:05:57","9"
"Cyberoam iAccess","0:04:08","27"
"App Usage","0:03:57","9"
"YouTube","0:03:40","3"
"Gallery","0:03:27","4"
"Security","0:03:09","91"
"Browser","0:02:56","2"
"Clock","0:02:44","20"
"Chrome","0:02:13","2"
"Settings","0:01:16","13"
"Google","0:00:40","10"
"Google Play Store","0:00:37","1"
"System UI","0:00:24","15"
"Contacts and dialer","0:00:20","5"
"Messaging","0:00:19","2"
"Drive","0:00:14","2"
"Package installer","0:00:12","1"
"HTML Viewer","0:00:06","5"
"Truecaller","0:00:06","6"
"Package installer","0:00:02","1"
"Call Management","0:00:00","2"
""
"Date","Usage time"
"13/11/18","0:02:45"
"31/10/18","0:07:47"
"30/10/18","3:46:15"
""
"Usage history, 13 November 2018 - 30 October 2018"
"Created by App Usage on Tuesday 13 November 2018, 7:28 PM"
