"App name","Usage time","Access count"
"WhatsApp","14:57:52","1080"
"Instagram","14:36:03","557"
"Facebook","10:09:34","176"
"TouchWiz home","6:40:43","3512"
"Snapchat","4:43:04","388"
"Gallery","3:02:08","167"
"Prime Video","2:15:51","11"
"Chrome","2:14:40","125"
"Quora","1:42:05","34"
"Maps","1:29:35","26"
"Psych!","1:28:40","9"
"Photos","1:13:45","52"
"Samsung Notes","1:09:47","90"
"Drive","1:00:40","119"
"inshorts","0:58:18","83"
"Phone","0:43:25","587"
"Contacts","0:40:26","289"
"Samsung Internet","0:37:46","41"
"Call Recorder","0:37:22","12"
"System UI","0:28:53","1293"
"OlaCabs","0:25:27","53"
"Zomato","0:22:35","17"
"Google","0:21:03","63"
"Saavn","0:20:19","56"
"CamScanner","0:19:27","7"
"Escape Room","0:18:42","3"
"App Lock","0:15:00","677"
"Truecaller","0:13:20","93"
"Magic Tiles 3","0:12:48","5"
"redBus","0:12:04","13"
"Corp EASE","0:11:59","8"
"Myntra","0:11:09","12"
"Documents","0:10:31","13"
"Uber","0:10:21","29"
"Clock","0:08:42","47"
"MakeMyTrip","0:08:23","9"
"Google Play Store","0:08:14","17"
"Splitwise","0:07:57","15"
"Gmail","0:07:32","23"
"Excel","0:07:02","5"
"Camera","0:07:01","36"
"Settings","0:06:23","31"
"Calculator","0:04:11","12"
"IndianRailway IRCTC","0:03:48","3"
"Photo Editor","0:03:18","9"
"Amazon Shopping","0:03:09","3"
"Google Play Music","0:02:56","15"
"Airbnb","0:02:55","1"
"Docs","0:02:51","3"
"SIM card manager","0:02:43","3"
"Video Player","0:02:33","15"
"My Files","0:02:16","13"
"CaptivePortalLogin","0:02:04","6"
"App Usage","0:02:03","6"
"Uber Eats","0:01:55","1"
"Messenger","0:01:48","5"
"Software update","0:01:35","17"
"Google Play services","0:01:31","5"
"YouTube","0:01:31","4"
"Photo Editor","0:01:18","6"
"Messages","0:01:08","8"
"Package installer","0:01:01","12"
"Domino's","0:00:49","2"
"BookMyShow","0:00:46","2"
"Weather Forecast","0:00:35","8"
"Briefing","0:00:29","5"
"Phone","0:00:19","1"
"JioTV","0:00:12","2"
"GBike","0:00:07","1"
"Phone","0:00:02","4"
"bigbasket","0:00:02","1"
"Bitmoji","0:00:01","2"
"Airtel Services","0:00:01","1"
""
"Date","Usage time"
"14/11/2018","2:40:23"
"13/11/2018","5:22:42"
"12/11/2018","4:38:25"
"11/11/2018","5:11:10"
"10/11/2018","4:34:02"
"09/11/2018","5:09:34"
"08/11/2018","5:22:05"
"07/11/2018","3:55:27"
"06/11/2018","6:46:13"
"05/11/2018","3:33:58"
"04/11/2018","4:44:11"
"03/11/2018","5:22:26"
"02/11/2018","4:36:59"
"01/11/2018","4:19:09"
"31/10/2018","6:58:28"
"30/10/2018","3:11:19"
""
"Usage history, 14 November 2018 - 30 October 2018"
"Created by App Usage on Wednesday, 14 November 2018, 2:07 pm"
