"App name","Usage time","Access count"
"Instagram","22:21:17","1194"
"YouTube","21:47:57","479"
"Twitter","17:19:49","1104"
"WhatsApp","8:04:58","1942"
"Facebook","6:59:32","181"
"Chrome","5:50:20","546"
"Samsung Experience Home","3:54:20","5499"
"Drive","3:36:34","330"
"MX Player","2:23:24","11"
"Phone","2:02:05","153"
"Hotstar","1:36:56","5"
"Camera","1:02:14","211"
"SonyLIV","0:39:52","3"
"Gmail","0:35:50","91"
"ZEE5","0:31:32","5"
"Cyberoam iAccess","0:26:26","343"
"Gallery","0:23:35","66"
"Saavn","0:20:02","49"
"Amazon Shopping","0:19:48","19"
"Samsung Internet","0:18:55","31"
"Xender","0:15:25","30"
"Zomato","0:12:50","18"
"Contacts","0:11:40","107"
"Quora","0:11:12","22"
"System UI","0:10:30","417"
"Word","0:10:05","36"
"Voice Recorder","0:09:23","42"
"Paytm","0:08:36","17"
"Translate","0:08:28","26"
"Google Play Store","0:07:26","23"
"Docs","0:06:47","18"
"App Usage","0:06:22","17"
"My Files","0:05:32","52"
"qmiran","0:05:07","10"
"Calculator","0:04:52","9"
"Clock","0:04:36","27"
"Settings","0:04:35","30"
"Messages","0:04:24","19"
"CaptivePortalLogin","0:03:07","29"
"Video Player","0:03:02","6"
"Mall","0:02:46","3"
"Excel","0:02:46","4"
"Coding Schedule","0:02:45","7"
"CamScanner","0:02:39","3"
"Google Play services","0:02:26","20"
"Calendar","0:01:47","7"
"Telegram","0:01:45","4"
"Follower Analyzer","0:01:29","9"
"Files","0:01:16","10"
"Workspace","0:01:16","7"
"Flipkart","0:01:10","2"
"hike","0:01:03","2"
"Google Play Music","0:00:56","8"
"Finder","0:00:55","11"
"Software update","0:00:55","6"
"Package installer","0:00:46","14"
"OneDrive","0:00:41","10"
"Truecaller","0:00:37","22"
"Maps","0:00:24","1"
"Photo Editor","0:00:20","2"
"Google","0:00:18","3"
"Samsung Pay mini","0:00:16","1"
"Messenger","0:00:15","7"
"Samsung Cloud","0:00:15","2"
"Smart View","0:00:14","1"
"Koza - Gujarati","0:00:13","1"
"PicsArt","0:00:12","1"
"Social","0:00:09","2"
"S power planning","0:00:07","1"
"My Idea","0:00:06","4"
"Galaxy Apps","0:00:04","1"
"Sound picker","0:00:04","1"
"S Secure","0:00:04","1"
"Phone","0:00:04","1"
"Autofill with Samsung Pass","0:00:03","1"
"રૂચિત","0:00:03","2"
"Idea Power","0:00:02","3"
"FreeCharge","0:00:02","1"
"Text Editor","0:00:01","1"
"Google Play Games","0:00:01","1"
"GBike","0:00:01","2"
"Crystal","0:00:01","1"
"Email","0:00:01","1"
"Google Play Movies & TV","0:00:01","1"
"Phone","0:00:01","1"
""
"Date","Usage time"
"11/14/18","4:23:34"
"11/13/18","4:04:47"
"11/12/18","5:51:23"
"11/11/18","7:53:47"
"11/8/18","0:09:48"
"11/7/18","2:47:58"
"11/6/18","5:56:07"
"11/5/18","5:05:47"
"11/4/18","4:14:59"
"11/3/18","9:34:25"
"11/2/18","10:54:32"
"11/1/18","6:32:34"
"10/31/18","5:47:49"
"10/30/18","5:33:20"
"10/29/18","5:04:24"
"10/28/18","4:59:39"
"10/27/18","7:16:36"
"10/26/18","3:29:59"
"10/25/18","3:59:18"
""
"Usage history, November 14, 2018 - October 25, 2018"
"Created by App Usage on Wednesday, November 14, 2018, 5:53 PM"
